Talent,Category,Src,Prerequisites,Brief,Text,ID,Rules
Cold-Hearted,General,MalExp,-,Seducing you auto-fails. Charm tests are one step harder on you,"Either you have undergone chemical and surgical treatments, or sheer will and training have been able to render yourself immune to most mundane temptations. Seduction attempts against you fail automatically, and tests to Charm you increase their difficulty by one level. ",000001,
Combat Formation,General,MalExp,"Drilled Talent, 2 Advances in Discipline",Every character with Drilled talent gains +1 for each Drilled character,"You make sure your team is constantly alert and prepared for danger, planning out their actions for many contingencies if attacked. Any other character that has the Drilled Talent alongside you gains +1 Initiative (including yourself).  ",000002,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Drilled"")"
Combat Sense,General,MalExp,1 Advance in Awareness,May calculate initiative as follows: 2 x PerB,"You have the ability to consciously recognize the prodding of your subconscious as it reacts to your preternaturally sharp senses, giving you an edge that mere speed cannot match. You may use 2x Perception Bonus instead of Perception Bonus + Agility Bonus when determining your initiative",000003,return this.actor.system.skills.awareness.advances >= 1
Decadence,General,MalExp,1 Advance in Fortitude(Poison),Ignore poison/drugs unless failing Fortitude by more than TghB. +1SL to resist addiction,"When you consume intoxicants, are unwillingly subjected to drugs, or are poisoned, you may choose to be unaffected by their effects unless you fail a Fortitude test by an mount of SLs equal to or greater than your Toughness Bonus. You also gain a +1SL Bonus to resist the effects of addiction. ",000004,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Poison"" && i.system.skill == ""fortitude"")?.system?.advances >= 1)"
Excellent Cook,General,MalExp,Devoted Servant (Agronomist) Talent,"Prepare great meal giving boni: +5 Discipline (next encounter). 3+SL: when spending FP, roll d10 on 10, the point is restored","You are an expertly trained cook, and you have not yet found a reason to give up your passion. Once per Session, you may make a Difficult (-10) Intelligence Test. This action takes at least an hour, in which you may gain bonuses for acquiring ingredients to truly enhance the meal. If you succeed, anyone that eats your food gains a +5 Bonus to Discipline Tests until the end of the next encounter. If you succeed by +3SL, the first time each other player spends a Fate Point, roll a 1d10. On a 10, they gain the benefit of the Fate Point without spending it. ",000005,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Devoted Servant(Agronomist)"")"
Feat of Strength,General,MalExp,2 Advanced in Athletics (Might),"Spend FP to double StB until turn-end, then: Fatigued (Major)","Once per mission, you may spend a Fate Point to double your Strength Bonus until the end of your turn. At this point, you immediately gain the Fatigued (Major) Condition.",000006,
Laborer,General,MalExp,-,Per session: gain Fatigue (Minor) for +StB/2 on Atheltic test,"Once per session, you may gain the Fatigued (Minor) Condition to increase the Success Levels you have on an Athletics test by half your Strength Bonus (rounded up).",000007,
Mastery (Athletics),General,MalExp,"4 Advances in Athletics, Talented (Athletics) Talent","Spend FP to auto-succeed on selected Athletics, scored SL = associated stat bonus","You must have 4 Advances in Athletics and the Talented(Athletics) on. You can spend a Fate Point to automatically pass a Athletics Test, scoring a number of Success Levels equal to your characteristic bonus. ",000008,"return this.actor.system.skills.athletics.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Athletics)"")"
Mastery (Awareness),General,MalExp,"4 Advances in Awareness, Talented (Awareness) Talent","Spend FP to auto-succeed on selected Awareness, scored SL = associated stat bonus","You must have 4 Advances in Awareness and the Talented(Awareness) on. You can spend a Fate Point to automatically pass a Awareness Test, scoring a number of Success Levels equal to your characteristic bonus. ",000009,"return this.actor.system.skills.awareness.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Awareness)"")"
Mastery (Dexterity),General,MalExp,"4 Advances in Dexterity, Talented (Dexterity) Talent","Spend FP to auto-succeed on selected Dexterity, scored SL = associated stat bonus","You must have 4 Advances in Dexterity and the Talented(Dexterity) on. You can spend a Fate Point to automatically pass a Dexterity Test, scoring a number of Success Levels equal to your characteristic bonus. ",000010,"return this.actor.system.skills.dexterity.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Dexterity)"")"
