"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
,"Chainaxe","One-Handed","3+StrB","--","--",1,600,"Rare","Loud, Rend (3)","Chain weapons have the Rend and Loud Traits while they are activated. Additionally, while active, chain weapons impose Disadvantage on Stealth Tests.","IM 128"
,"Chainsword","One-Handed","3+StrB","--","--",1,500,"Scarce","Loud, Rend (2)","Chain weapons have the Rend and Loud Traits while they are activated. Additionally, while active, chain weapons impose Disadvantage on Stealth Tests.","IM 128"
,"Tran'lo 'Burnout' Chainsword","One-Handed","3+StrB","--","--",1,650,"Rare","Loud, Rend (2)","Chain weapons have the Rend and Loud Traits while they are activated. Additionally, while active, chain weapons impose Disadvantage on Stealth Tests. 
When a character wielding the Burnout Chainsword deals damage, they can choose to pull its secondary activation trigger to deal an extra +3 Damage with the attack. This uses up the Chainsword remaining battery power, sometimes damaging the chain mechanism; the weapon gains the Ineffective Trait until it is repaired. The mechanism for activating this feature is often unwieldy. Fumbling with this weapon in any capacity on a roll of 88, 99, or 00 causes it to activate by accident.","RM 45"
,"Viridian Mk II Chain Halberd","Two-Handed","5+StrB","--","--",4,1200,"Rare","Heavy (4), Loud, Reach, Rend (4), Two-handed","Chain weapons have the Rend and Loud Traits while they are activated. Additionally, while active, chain weapons impose Disadvantage on Stealth Tests.","RM 45"
,"Eviscerator","Two-Handed","5+StrB","--","-",3,800,"Rare","Heavy (4), Loud, Rend (4), Two-handed","Chain weapons have the Rend and Loud Traits while they are activated. Additionally, while active, chain weapons impose Disadvantage on Stealth Tests.","IM 128"
,"Force Staff","Two-Handed","1+StrB","--","--",2,7000,"Exotic","Defensive, Two-handed","When a Force weapon is used by a character with the Psyker Talent, it deals additional Damage equal to their current Warp Charge. This additional Damage is doubled if the target is a daemon.","IM 128"
,"Force Sword","One-Handed","2+StrB","--","--",1,8000,"Exotic","--","When a Force weapon is used by a character with the Psyker Talent, it deals additional Damage equal to their current Warp Charge. This additional Damage is doubled if the target is a daemon.","IM 128"
,"Axe","One-Handed","2+StrB","--","--",1,80,"Common","Rend (1)",,"IM 128"
,"Brass Knuckles","Brawling","0+StrB","--","--",0,30,"Common","Subtle",,"IM 128"
,"Flail","Two-Handed","3+StrB","--","--",2,200,"Common","Heavy (3), Two-handed",,"IM 128"
